Year,T,P,E,PpE,PmE
2015,14.70323051,1088.885655,1091.244485,2180.13014,-2.358830311
2016,14.81661932,1092.055929,1094.786188,2186.842117,-2.730258562
2017,14.89275817,1095.471055,1096.603496,2192.074551,-1.132441026
2018,14.86205754,1092.563046,1096.528646,2189.091692,-3.965600006
2019,14.79657306,1091.981765,1094.203265,2186.18503,-2.221500299
2020,14.77683873,1091.950888,1095.114548,2187.065437,-3.163659691
2021,14.940708,1095.440543,1096.754124,2192.194667,-1.313581312
2022,14.94527867,1090.713897,1096.111933,2186.82583,-5.398036493
2023,14.92523986,1093.984225,1097.644085,2191.62831,-3.659860676
2024,14.99636555,1097.818443,1100.414999,2198.233442,-2.596555837
2025,15.05864879,1096.306775,1098.656872,2194.963648,-2.350096637
2026,15.0336845,1095.024303,1097.839074,2192.863377,-2.81477082
2027,15.0865103,1094.732835,1097.968731,2192.701567,-3.235896281
2028,15.20985351,1098.629609,1104.019409,2202.649019,-5.389800119
2029,15.24082329,1102.278168,1104.405134,2206.683302,-2.126966596
2030,15.21072997,1097.981168,1101.618573,2199.599741,-3.637404412
2031,15.27434282,1100.212134,1102.920607,2203.132741,-2.708472518
2032,15.29364345,1100.918653,1103.633676,2204.552329,-2.715023654
2033,15.23498584,1096.126004,1101.510798,2197.636803,-5.384794272
2034,15.24711359,1097.630993,1100.648481,2198.279474,-3.017487391
2035,15.33320103,1101.041116,1102.454331,2203.495447,-1.413214152
2036,15.44755663,1101.22848,1107.542956,2208.771436,-6.314476746
2037,15.42162761,1101.027485,1102.155412,2203.182896,-1.127927064
2038,15.56508514,1106.393984,1107.093829,2213.487814,-0.699844994
2039,15.65401131,1105.059676,1109.276518,2214.336194,-4.216841178
2040,15.72430583,1104.318014,1110.119885,2214.437899,-5.801871536
2041,15.78560803,1107.511343,1111.505321,2219.016664,-3.993977956
2042,15.78509171,1107.676336,1111.090371,2218.766708,-3.414034799
2043,15.90079988,1109.444913,1112.940219,2222.385132,-3.49530522
2044,15.94115834,1111.447931,1113.487965,2224.935896,-2.040034064
2045,15.93397604,1112.881179,1112.449701,2225.330879,0.431477619
2046,15.99970325,1108.943317,1114.307267,2223.250584,-5.36395053
2047,16.13174394,1111.968491,1118.236501,2230.204992,-6.268010158
2048,16.07251255,1114.408099,1114.08585,2228.493949,0.322248645
2049,16.12528627,1110.938023,1115.215918,2226.15394,-4.277895071
2050,16.16895252,1113.757096,1115.541778,2229.298874,-1.784682532
2051,16.2582967,1115.567267,1119.611873,2235.17914,-4.044606118
2052,16.31870819,1116.742609,1122.360486,2239.103096,-5.617877061
2053,16.29936286,1116.572082,1118.632915,2235.204998,-2.060833186
2054,16.38979905,1117.605504,1118.812748,2236.418252,-1.207243243
2055,16.40667653,1123.834998,1120.472924,2244.307922,3.362073741
2056,16.47226693,1118.22087,1123.695852,2241.916722,-5.474982263
2057,16.47401928,1120.312666,1121.320378,2241.633044,-1.00771261
2058,16.58626016,1123.067784,1123.13842,2246.206204,-0.070636678
2059,16.68972744,1120.431751,1125.091382,2245.523133,-4.659630294
2060,16.79358831,1125.463691,1127.886408,2253.350099,-2.422717214
2061,16.75625285,1124.983312,1126.700261,2251.683574,-1.716948904
2062,16.81365386,1129.656642,1127.666918,2257.32356,1.989723106
2063,16.92152786,1131.43718,1129.955295,2261.392475,1.481884722
2064,16.91226941,1127.324332,1127.5448,2254.869132,-0.22046789
2065,16.96217893,1129.45031,1130.674272,2260.124582,-1.223962149
2066,17.14182964,1132.162612,1133.87498,2266.037593,-1.712367529
2067,17.1774207,1133.45874,1134.176781,2267.635521,-0.718041405
2068,17.21861329,1132.792222,1133.626502,2266.418725,-0.834280386
2069,17.27753672,1132.14864,1133.001332,2265.149972,-0.85269219
2070,17.4093618,1136.611271,1134.132735,2270.744006,2.478536237
2071,17.50575315,1137.18891,1140.998272,2278.187181,-3.809362079
2072,17.41971842,1134.840842,1135.080935,2269.921776,-0.240092928
2073,17.47391868,1138.946908,1137.409696,2276.356604,1.537211827
2074,17.64729325,1144.005784,1139.769086,2283.77487,4.23669865
2075,17.74228361,1139.102838,1143.454201,2282.557039,-4.351363243
2076,17.69948454,1140.134554,1139.818065,2279.952619,0.316489114
2077,17.83015339,1148.162241,1144.729795,2292.892036,3.432446606
2078,17.88867602,1141.854255,1143.75298,2285.607235,-1.898725265
2079,17.95062262,1143.606238,1146.905586,2290.511824,-3.299347611
2080,18.03057601,1148.18125,1147.191727,2295.372977,0.989522888
2081,18.15566853,1155.27566,1149.014278,2304.289938,6.26138229
2082,18.20759069,1147.202422,1152.55037,2299.752792,-5.347948744
2083,18.34415941,1149.27408,1153.804544,2303.078624,-4.530463143
2084,18.3045039,1154.123705,1154.425127,2308.548832,-0.301421728
2085,18.40712391,1156.878195,1152.086965,2308.96516,4.791230127
2086,18.56619987,1154.697198,1157.574786,2312.271984,-2.877587529
